__________________________________________________________
|  k value  |        SSE        |  Size of each cluster  |
|           |                   |         56: 6          |
|           |                   |         57: 21         |
|           |                   |         58: 4          |
|           |                   |         59: 8          |
|           |                   |         60: 3          |
|           |                   |         61: 3          |
|           |                   |         62: 16         |
|           |                   |         63: 27         |
|           |                   |         64: 4          |
|           |                   |         65: 7          |
|           |                   |         66: 15         |
|           |                   |         67: 4          |
|           |                   |         68: 6          |
|           |                   |         69: 8          |
|           |                   |         70: 3          |
|           |                   |         71: 10         |
|           |                   |         72: 2          |
|           |                   |         73: 19         |
|           |                   |         74: 29         |
|           |                   |         75: 7          |
|           |                   |         76: 3          |
|           |                   |         77: 10         |
|           |                   |         78: 3          |
|           |                   |         79: 8          |
|           |                   |         80: 7          |
|           |                   |         81: 5          |
|           |                   |         82: 6          |
|           |                   |         83: 12         |
|           |                   |         84: 12         |
|           |                   |         85: 1          |
|           |                   |         86: 14         |
|           |                   |         87: 1          |
|           |                   |         88: 9          |
|           |                   |         89: 4          |
|           |                   |         90: 1          |
|           |                   |         91: 6          |
|           |                   |         92: 5          |
|           |                   |         93: 2          |
|           |                   |         94: 5          |
|           |                   |         95: 2          |
|           |                   |         96: 1          |
|           |                   |         97: 2          |
|           |                   |         98: 1          |
|           |                   |         99: 1          |
|___________|___________________|________________________|
|   1000    |     16.83259      |          0: 2          |
|           |                   |          1: 6          |
|           |                   |          2: 2          |
|           |                   |          3: 1          |
|           |                   |          4: 3          |
|           |                   |          5: 1          |
|           |                   |          6: 5          |
|           |                   |          7: 1          |
|           |                   |          8: 2          |
|           |                   |          9: 9          |
|           |                   |         10: 1          |
|           |                   |         11: 2          |
|           |                   |         12: 13         |
|           |                   |         13: 5          |
|           |                   |         14: 1          |
|           |                   |         15: 5          |
|           |                   |         16: 7          |
|           |                   |         17: 4          |
|           |                   |         18: 4          |
|           |                   |         19: 2          |
|           |                   |         20: 1          |
|           |                   |         21: 4          |
|           |                   |         22: 5          |
|           |                   |         23: 4          |
|           |                   |         24: 3          |
|           |                   |         25: 1          |
|           |                   |         26: 3          |
|           |                   |         27: 1          |
|           |                   |         28: 5          |
|           |                   |         29: 3          |
|           |                   |         30: 1          |
|           |                   |         31: 3          |
|           |                   |         32: 6          |
|           |                   |         33: 5          |
|           |                   |         34: 2          |
|           |                   |         35: 2          |
|           |                   |         36: 2          |
|           |                   |         37: 1          |
|           |                   |         38: 7          |
|           |                   |         39: 9          |
|           |                   |         40: 3          |
|           |                   |         41: 3          |
|           |                   |         42: 5          |
|           |                   |         43: 1          |
|           |                   |         44: 1          |
|           |                   |         45: 3          |
|           |                   |         46: 1          |
|           |                   |         47: 5          |
|           |                   |         48: 1          |
|           |                   |         49: 5          |
|           |                   |         50: 6          |
|           |                   |         51: 1          |
|           |                   |         52: 3          |
|           |                   |         53: 4          |
|           |                   |         54: 2          |
|           |                   |         55: 1          |
|           |                   |         56: 7          |
|           |                   |         57: 1          |
|           |                   |         58: 2          |
|           |                   |         59: 2          |
|           |                   |         60: 3          |
|           |                   |         61: 2          |
|           |                   |         62: 4          |
|           |                   |         63: 1          |
|           |                   |         64: 1          |
|           |                   |         65: 2          |
|           |                   |         66: 5          |
|           |                   |         67: 2          |
|           |                   |         68: 1          |
|           |                   |         69: 5          |
|           |                   |         70: 1          |
|           |                   |         71: 1          |
|           |                   |         72: 1          |
|           |                   |         73: 8          |
|           |                   |         74: 2          |
|           |                   |         75: 1          |
|           |                   |         76: 1          |
|           |                   |         77: 8          |
|           |                   |         78: 5          |
|           |                   |         79: 8          |
|           |                   |         80: 9          |
|           |                   |         81: 1          |
|           |                   |         82: 1          |
|           |                   |         83: 3          |
|           |                   |         84: 6          |
|           |                   |         85: 7          |
|           |                   |         86: 1          |
|           |                   |         87: 7          |
|           |                   |         88: 2          |
|           |                   |         89: 2          |
|           |                   |         90: 3          |
|           |                   |         91: 2          |
|           |                   |         92: 7          |
|           |                   |         93: 4          |
|           |                   |         94: 2          |
|           |                   |         95: 10         |
|           |                   |         96: 1          |
|           |                   |         97: 8          |
|           |                   |         98: 3          |
|           |                   |         99: 2          |
|           |                   |         100: 1         |
|           |                   |         101: 9         |
|           |                   |         102: 1         |
|           |                   |         103: 6         |
|           |                   |         104: 6         |
|           |                   |         105: 3         |
|           |                   |         106: 3         |
|           |                   |         107: 1         |
|           |                   |         108: 3         |
|           |                   |         109: 3         |
|           |                   |         110: 4         |
|           |                   |         111: 2         |
|           |                   |         112: 4         |
|           |                   |         113: 4         |
|           |                   |         114: 4         |
|           |                   |         115: 5         |
|           |                   |         116: 7         |
|           |                   |         117: 2         |
|           |                   |         118: 2         |
|           |                   |         119: 1         |
|           |                   |         120: 5         |
|           |                   |         121: 3         |
|           |                   |         122: 1         |
|           |                   |         123: 3         |
|           |                   |         124: 4         |
|           |                   |         125: 2         |
|           |                   |         126: 3         |
|           |                   |         127: 1         |
|           |                   |         128: 5         |
|           |                   |         129: 1         |
|           |                   |         130: 3         |
|           |                   |         131: 1         |
|           |                   |         132: 4         |
|           |                   |         133: 3         |
|           |                   |         134: 5         |
|           |                   |         135: 8         |
|           |                   |         136: 3         |
|           |                   |         137: 1         |
|           |                   |         138: 5         |
|           |                   |         139: 6         |
|           |                   |         140: 1         |
|           |                   |         141: 4         |
|           |                   |         142: 1         |
|           |                   |         143: 6         |
|           |                   |         144: 2         |
|           |                   |         145: 3         |
|           |                   |         146: 1         |
|           |                   |         147: 3         |
|           |                   |         148: 4         |
|           |                   |         149: 1         |
|           |                   |        150: 12         |
|           |                   |         151: 1         |
|           |                   |        152: 11         |
|           |                   |         153: 2         |
|           |                   |         154: 1         |
|           |                   |         155: 1         |
|           |                   |         156: 1         |
|           |                   |         157: 2         |
|           |                   |         158: 2         |
|           |                   |         159: 4         |
|           |                   |         160: 4         |
|           |                   |         161: 6         |
|           |                   |         162: 1         |
|           |                   |         163: 1         |
|           |                   |         164: 2         |
|           |                   |         165: 3         |
|           |                   |         166: 2         |
|           |                   |         167: 7         |
|           |                   |         168: 4         |
|           |                   |         169: 1         |
|           |                   |         170: 1         |
|           |                   |         171: 3         |
|           |                   |         172: 6         |
|           |                   |         173: 1         |
|           |                   |         174: 2         |
|           |                   |         175: 3         |
|           |                   |         176: 1         |
|           |                   |         177: 5         |
|           |                   |         178: 6         |
|           |                   |         179: 2         |
|           |                   |         180: 3         |
|           |                   |         181: 1         |
|           |                   |         182: 2         |
|           |                   |         183: 5         |
|           |                   |         184: 2         |
|           |                   |         185: 3         |
|           |                   |         186: 3         |
|           |                   |         187: 1         |
|           |                   |         188: 1         |
|           |                   |         189: 4         |
|           |                   |         190: 6         |
|           |                   |         191: 2         |
|           |                   |         192: 3         |
|           |                   |         193: 2         |
|           |                   |         194: 1         |
|           |                   |         195: 2         |
|           |                   |         196: 2         |
|           |                   |         197: 1         |
|           |                   |         198: 3         |
|           |                   |         199: 1         |
|           |                   |         200: 1         |
|           |                   |         201: 2         |
|           |                   |         202: 1         |
|           |                   |         203: 1         |
|           |                   |         204: 6         |
|           |                   |         205: 4         |
|           |                   |        206: 10         |
|           |                   |         207: 7         |
|           |                   |         208: 4         |
|           |                   |         209: 1         |
|           |                   |        210: 10         |
|           |                   |         211: 2         |
|           |                   |         212: 2         |
|           |                   |         213: 1         |
|           |                   |         214: 5         |
|           |                   |         215: 1         |
|           |                   |         216: 2         |
|           |                   |         217: 1         |
|           |                   |         218: 1         |
|           |                   |         219: 8         |
|           |                   |         220: 4         |
|           |                   |         221: 1         |
|           |                   |         222: 1         |
|           |                   |         223: 2         |
|           |                   |         224: 4         |
|           |                   |         225: 1         |
|           |                   |         226: 4         |
|           |                   |         227: 4         |
|           |                   |         228: 1         |
|           |                   |         229: 3         |
|           |                   |         230: 3         |
|           |                   |         231: 1         |
|           |                   |         232: 1         |
|           |                   |         233: 6         |
|           |                   |         234: 4         |
|           |                   |         235: 5         |
|           |                   |         236: 3         |
|           |                   |         237: 4         |
|           |                   |         238: 7         |
|           |                   |         239: 2         |
|           |                   |         240: 2         |
|           |                   |         241: 1         |
|           |                   |         242: 2         |
|           |                   |         243: 3         |
|           |                   |         244: 2         |
|           |                   |         245: 1         |
|           |                   |         246: 1         |
|           |                   |         247: 1         |
|           |                   |         248: 5         |
|           |                   |         249: 1         |
|           |                   |         250: 2         |
|           |                   |         251: 1         |
|           |                   |         252: 3         |
|           |                   |         253: 2         |
|           |                   |         254: 3         |
|           |                   |         255: 1         |
|           |                   |         256: 2         |
|           |                   |         257: 3         |
|           |                   |         258: 2         |
|           |                   |         259: 2         |
|           |                   |         260: 1         |
|           |                   |         261: 2         |
|           |                   |         262: 3         |
|           |                   |         263: 3         |
|           |                   |         264: 1         |
|           |                   |         265: 2         |
|           |                   |         266: 6         |
|           |                   |         267: 3         |
|           |                   |         268: 7         |
|           |                   |         269: 1         |
|           |                   |         270: 2         |
|           |                   |         271: 5         |
|           |                   |         272: 2         |
|           |                   |         273: 2         |
|           |                   |         274: 2         |
|           |                   |         275: 1         |
|           |                   |         276: 1         |
|           |                   |         277: 1         |
|           |                   |         278: 1         |
|           |                   |         279: 2         |
|           |                   |         280: 4         |
|           |                   |         281: 2         |
|           |                   |         282: 3         |
|           |                   |         283: 6         |
|           |                   |         284: 4         |
|           |                   |         285: 1         |
|           |                   |         286: 5         |
|           |                   |         287: 2         |
|           |                   |         288: 6         |
|           |                   |         289: 2         |
|           |                   |         290: 4         |
|           |                   |         291: 1         |
|           |                   |         292: 1         |
|           |                   |         293: 1         |
|           |                   |         294: 3         |
|           |                   |         295: 2         |
|           |                   |         296: 1         |
|           |                   |         297: 3         |
|           |                   |         298: 1         |
|           |                   |         299: 2         |
|           |                   |         300: 1         |
|           |                   |         301: 1         |
|           |                   |         302: 1         |
|           |                   |         303: 2         |
|           |                   |         304: 9         |
|           |                   |         305: 1         |
|           |                   |         306: 1         |
|           |                   |         307: 1         |
|           |                   |         308: 1         |
|           |                   |         309: 1         |
|           |                   |         310: 1         |
|           |                   |         311: 1         |
|           |                   |         312: 1         |
|           |                   |         313: 1         |
|           |                   |         314: 3         |
|           |                   |         315: 2         |
|           |                   |         316: 3         |
|           |                   |         317: 3         |
|           |                   |         318: 1         |
|           |                   |         319: 3         |
|           |                   |         320: 1         |
|           |                   |         321: 2         |
|           |                   |         322: 4         |
|           |                   |         323: 1         |
|           |                   |         324: 2         |
|           |                   |         325: 1         |
|           |                   |         326: 1         |
|           |                   |         327: 3         |
|           |                   |         328: 1         |
|           |                   |         329: 2         |
|           |                   |         330: 1         |
|           |                   |         331: 2         |
|           |                   |         332: 3         |
|           |                   |         333: 4         |
|           |                   |         334: 4         |
|           |                   |         335: 3         |
|           |                   |         336: 1         |
|           |                   |         337: 1         |
|           |                   |         338: 1         |
|           |                   |         339: 2         |
|           |                   |         340: 3         |
|           |                   |         341: 7         |
|           |                   |         342: 1         |
|           |                   |         343: 4         |
|           |                   |         344: 5         |
|           |                   |         345: 1         |
|           |                   |         346: 2         |
|           |                   |         347: 2         |
|           |                   |         348: 3         |
|           |                   |         349: 2         |
|           |                   |         350: 2         |
|           |                   |         351: 1         |
|           |                   |         352: 1         |
|           |                   |         353: 1         |
|           |                   |         354: 1         |
|           |                   |         355: 1         |
|           |                   |         356: 1         |
|           |                   |         357: 3         |
|           |                   |         358: 1         |
|           |                   |         359: 3         |
|           |                   |         360: 2         |
|           |                   |         361: 1         |
|           |                   |         362: 1         |
|           |                   |         363: 2         |
|           |                   |         364: 5         |
|           |                   |         365: 1         |
|           |                   |         366: 4         |
|           |                   |         367: 5         |
|           |                   |         368: 3         |
|           |                   |         369: 1         |
|           |                   |         370: 2         |
|           |                   |         371: 2         |
|           |                   |         372: 3         |
|           |                   |         373: 2         |
|           |                   |         374: 1         |
|           |                   |         375: 1         |
|           |                   |         376: 1         |
|           |                   |         377: 1         |
|           |                   |         378: 5         |
|           |                   |         379: 1         |
|           |                   |         380: 2         |
|           |                   |         381: 2         |
|           |                   |         382: 6         |
|           |                   |         383: 1         |
|           |                   |         384: 1         |
|           |                   |         385: 3         |
|           |                   |         386: 1         |
|           |                   |         387: 2         |
|           |                   |         388: 1         |
|           |                   |         389: 3         |
|           |                   |         390: 2         |
|           |                   |         391: 6         |
|           |                   |         392: 1         |
|           |                   |         393: 1         |
|           |                   |         394: 3         |
|           |                   |         395: 1         |
|           |                   |         396: 1         |
|           |                   |         397: 1         |
|           |                   |         398: 2         |
|           |                   |         399: 2         |
|           |                   |         400: 3         |
|           |                   |         401: 1         |
|           |                   |         402: 1         |
|           |                   |         403: 3         |
|           |                   |         404: 5         |
|           |                   |         405: 2         |
|           |                   |         406: 1         |
|           |                   |         407: 6         |
|           |                   |         408: 4         |
|           |                   |         409: 1         |
|           |                   |         410: 1         |
|           |                   |         411: 2         |
|           |                   |         412: 1         |
|           |                   |         413: 4         |
|           |                   |         414: 1         |
|           |                   |         415: 4         |
|           |                   |         416: 1         |
|           |                   |         417: 3         |
|           |                   |         418: 2         |
|           |                   |         419: 1         |
|           |                   |         420: 4         |
|           |                   |         421: 1         |
|           |                   |         422: 4         |
|           |                   |         423: 1         |
|           |                   |         424: 3         |
|           |                   |         425: 2         |
|           |                   |         426: 1         |
|           |                   |         427: 1         |
|           |                   |         428: 5         |
|           |                   |         429: 1         |
|           |                   |         430: 1         |
|           |                   |         431: 4         |
|           |                   |         432: 2         |
|           |                   |         433: 2         |
|           |                   |         434: 1         |
|           |                   |         435: 3         |
|           |                   |         436: 1         |
|           |                   |         437: 1         |
|           |                   |         438: 1         |
|           |                   |         439: 2         |
|           |                   |         440: 1         |
|           |                   |         441: 1         |
|           |                   |         442: 4         |
|           |                   |         443: 2         |
|           |                   |         444: 1         |
|           |                   |         445: 1         |
|           |                   |         446: 3         |
|           |                   |         447: 1         |
|           |                   |         448: 1         |
|           |                   |         449: 5         |
|           |                   |         450: 1         |
|           |                   |         451: 1         |
|           |                   |         452: 1         |
|           |                   |         453: 2         |
|           |                   |         454: 2         |
|           |                   |         455: 5         |
|           |                   |         456: 4         |
|           |                   |         457: 1         |
|           |                   |         458: 1         |
|           |                   |         459: 1         |
|           |                   |         460: 3         |
|           |                   |         461: 1         |
|           |                   |         462: 2         |
|           |                   |         463: 4         |
|           |                   |         464: 1         |
|           |                   |         465: 1         |
|           |                   |         466: 2         |
|           |                   |         467: 1         |
|           |                   |         468: 1         |
|           |                   |         469: 1         |
|           |                   |         470: 1         |
|           |                   |         471: 5         |
|           |                   |         472: 1         |
|           |                   |         473: 1         |
|           |                   |         474: 1         |
|           |                   |         475: 1         |
|           |                   |         476: 1         |
|           |                   |         477: 2         |
|           |                   |         478: 2         |
|           |                   |         479: 1         |
|           |                   |         480: 4         |
|           |                   |         481: 2         |
|           |                   |         482: 2         |
|           |                   |         483: 1         |
|           |                   |         484: 1         |
|           |                   |         485: 1         |
|           |                   |         486: 3         |
|           |                   |         487: 1         |
|           |                   |         488: 2         |
|           |                   |         489: 2         |
|           |                   |         490: 1         |
|           |                   |         491: 2         |
|           |                   |         492: 1         |
|           |                   |         493: 1         |
|           |                   |         494: 1         |
|           |                   |         495: 2         |
|           |                   |         496: 1         |
|           |                   |         497: 2         |
|           |                   |         498: 1         |
|           |                   |         499: 1         |
|           |                   |         500: 1         |
|           |                   |         501: 1         |
|           |                   |         502: 1         |
|           |                   |         503: 1         |
|           |                   |         504: 1         |
|           |                   |         505: 2         |
|           |                   |         506: 1         |
|           |                   |         507: 1         |
|           |                   |         508: 2         |
|           |                   |         509: 1         |
|           |                   |         510: 3         |
|           |                   |         511: 6         |
|           |                   |         512: 1         |
|           |                   |         513: 1         |
|           |                   |         514: 2         |
|           |                   |         515: 1         |
|           |                   |         516: 1         |
|           |                   |         517: 2         |
|           |                   |         518: 1         |
|           |                   |         519: 1         |
|           |                   |         520: 1         |
|           |                   |         521: 2         |
|           |                   |         522: 1         |
|           |                   |         523: 1         |
|           |                   |         524: 2         |
|           |                   |         525: 1         |
|           |                   |         526: 1         |
|           |                   |         527: 1         |
|           |                   |         528: 1         |
|           |                   |         529: 3         |
|           |                   |         530: 2         |
|           |                   |         531: 3         |
|           |                   |         532: 1         |
|           |                   |         533: 1         |
|           |                   |         534: 2         |
|           |                   |         535: 1         |
|           |                   |         536: 1         |
|           |                   |         537: 1         |
|           |                   |         538: 2         |
|           |                   |         539: 1         |
|           |                   |         540: 3         |
|           |                   |         541: 1         |
|           |                   |         542: 1         |
|           |                   |         543: 4         |
|           |                   |         544: 2         |
|           |                   |         545: 1         |
|           |                   |         546: 2         |
|           |                   |         547: 1         |
|           |                   |         548: 2         |
|           |                   |         549: 1         |
|           |                   |         550: 3         |
|           |                   |         551: 1         |
|           |                   |         552: 1         |
|           |                   |         553: 3         |
|           |                   |         554: 5         |
|           |                   |         555: 3         |
|           |                   |         556: 3         |
|           |                   |         557: 1         |
|           |                   |         558: 2         |
|           |                   |         559: 2         |
|           |                   |         560: 2         |
|           |                   |         561: 1         |
|           |                   |         562: 1         |
|           |                   |         563: 1         |
|           |                   |         564: 3         |
|           |                   |         565: 3         |
|           |                   |         566: 3         |
|           |                   |         567: 1         |
|           |                   |         568: 1         |
|           |                   |         569: 1         |
|           |                   |         570: 1         |
|           |                   |         571: 1         |
|           |                   |         572: 1         |
|           |                   |         573: 1         |
|           |                   |         574: 1         |
|           |                   |         575: 2         |
|           |                   |         576: 5         |
|           |                   |         577: 1         |
|           |                   |         578: 2         |
|           |                   |         579: 1         |
|           |                   |         580: 1         |
|           |                   |         581: 1         |
|           |                   |         582: 1         |
|           |                   |         583: 2         |
|           |                   |         584: 2         |
|           |                   |         585: 3         |
|           |                   |         586: 2         |
|           |                   |         587: 1         |
|           |                   |         588: 1         |
|           |                   |         589: 2         |
|           |                   |         590: 1         |
|           |                   |         591: 1         |
|           |                   |         592: 1         |
|           |                   |         593: 1         |
|           |                   |         594: 1         |
|           |                   |         595: 1         |
|           |                   |         596: 3         |
|           |                   |         597: 1         |
|           |                   |         598: 1         |
|           |                   |         599: 7         |
|           |                   |         600: 1         |
|           |                   |         601: 1         |
|           |                   |         602: 1         |
|           |                   |         603: 2         |
|           |                   |         604: 1         |
|           |                   |         605: 2         |
|           |                   |         606: 1         |
|           |                   |         607: 1         |
|           |                   |         608: 1         |
|           |                   |         609: 2         |
|           |                   |         610: 1         |
|           |                   |         611: 1         |
|           |                   |         612: 1         |
|           |                   |         613: 3         |
|           |                   |         614: 1         |
|           |                   |         615: 1         |
|           |                   |         616: 1         |
|           |                   |         617: 2         |
|           |                   |         618: 1         |
|           |                   |         619: 1         |
|           |                   |         620: 4         |
|           |                   |         621: 2         |
|           |                   |         622: 3         |
|           |                   |         623: 3         |
|           |                   |         624: 2         |
|           |                   |         625: 1         |
|           |                   |         626: 3         |
|           |                   |         627: 2         |
|           |                   |         628: 1         |
|           |                   |         629: 1         |
|           |                   |         630: 3         |
|           |                   |         631: 2         |
|           |                   |         632: 3         |
|           |                   |         633: 1         |
|           |                   |         634: 1         |
|           |                   |         635: 1         |
|           |                   |         636: 3         |
|           |                   |         637: 2         |
|           |                   |         638: 1         |
|           |                   |         639: 1         |
|           |                   |         640: 2         |
|           |                   |         641: 2         |
|           |                   |         642: 2         |
|           |                   |         643: 1         |
|           |                   |         644: 1         |
|           |                   |         645: 2         |
|           |                   |         646: 1         |
|           |                   |         647: 2         |
|           |                   |         648: 1         |
|           |                   |         649: 2         |
|           |                   |         650: 3         |
|           |                   |         651: 1         |
|           |                   |         652: 1         |
|           |                   |         653: 1         |
|           |                   |         654: 1         |
|           |                   |         655: 1         |
|           |                   |         656: 1         |
|           |                   |         657: 1         |
|           |                   |         658: 1         |
|           |                   |         659: 1         |
|           |                   |         660: 1         |
|           |                   |         661: 2         |
|           |                   |         662: 1         |
|           |                   |         663: 1         |
|           |                   |         664: 4         |
|           |                   |         665: 1         |
|           |                   |         666: 1         |
|           |                   |         667: 1         |
|           |                   |         668: 1         |
|           |                   |         669: 1         |
|           |                   |         670: 1         |
|           |                   |         671: 1         |
|           |                   |         672: 1         |
|           |                   |         673: 1         |
|           |                   |         674: 1         |
|           |                   |         675: 1         |
|           |                   |         676: 4         |
|           |                   |         677: 1         |
|           |                   |         678: 1         |
|           |                   |         679: 1         |
|           |                   |         680: 1         |
|           |                   |         681: 1         |
|           |                   |         682: 1         |
|           |                   |         683: 1         |
|           |                   |         684: 1         |
|           |                   |         685: 2         |
|           |                   |         686: 1         |
|           |                   |         687: 1         |
|           |                   |         688: 1         |
|           |                   |         689: 1         |
|           |                   |         690: 1         |
|           |                   |         691: 2         |
|           |                   |         692: 1         |
|           |                   |         693: 1         |
|           |                   |         694: 1         |
|           |                   |         695: 2         |
|           |                   |         696: 1         |
|           |                   |         697: 1         |
|           |                   |         698: 1         |
|           |                   |         699: 1         |
|           |                   |         700: 1         |
|           |                   |         701: 1         |
|           |                   |         702: 3         |
|           |                   |         703: 1         |
|           |                   |         704: 1         |
|           |                   |         705: 1         |
|           |                   |         706: 2         |
|           |                   |         707: 1         |
|           |                   |         708: 1         |
|           |                   |         709: 1         |
|           |                   |         710: 1         |
|           |                   |         711: 1         |
|           |                   |         712: 1         |
|           |                   |         713: 2         |
|           |                   |         714: 1         |
|           |                   |         715: 1         |
|           |                   |         716: 1         |
|           |                   |         717: 1         |
|           |                   |         718: 1         |
|           |                   |         719: 2         |
|           |                   |         720: 1         |
|           |                   |         721: 1         |
|           |                   |         722: 1         |
|           |                   |         723: 3         |
|           |                   |         724: 1         |
|           |                   |         725: 1         |
|           |                   |         726: 1         |
|           |                   |         727: 2         |
|           |                   |         728: 1         |
|           |                   |         729: 1         |
|           |                   |         730: 2         |
|           |                   |         731: 1         |
|           |                   |         732: 2         |
|           |                   |         733: 1         |
|           |                   |         734: 2         |
|           |                   |         735: 2         |
|           |                   |         736: 1         |
|           |                   |         737: 1         |
|           |                   |         738: 1         |
|           |                   |         739: 1         |
|           |                   |         740: 1         |
|           |                   |         741: 1         |
|           |                   |         742: 1         |
|           |                   |         743: 3         |
|           |                   |         744: 2         |
|           |                   |         745: 2         |
|           |                   |         746: 1         |
|           |                   |         747: 1         |
|           |                   |         748: 1         |
|           |                   |         749: 3         |
|           |                   |         750: 2         |
|           |                   |         751: 1         |
|           |                   |         752: 2         |
|           |                   |         753: 1         |
|           |                   |         754: 2         |
|           |                   |         755: 1         |
|           |                   |         756: 1         |
|           |                   |         757: 1         |
|           |                   |         758: 1         |
|           |                   |         759: 1         |
|           |                   |         760: 1         |
|           |                   |         761: 2         |
|           |                   |         762: 3         |
|           |                   |         763: 1         |
|           |                   |         764: 1         |
|           |                   |         765: 1         |
|           |                   |         766: 1         |
|           |                   |         767: 2         |
|           |                   |         768: 1         |
|           |                   |         769: 1         |
|           |                   |         770: 1         |
|           |                   |         771: 2         |
|           |                   |         772: 2         |
|           |                   |         773: 1         |
|           |                   |         774: 1         |
|           |                   |         775: 1         |
|           |                   |         776: 1         |
|           |                   |         777: 1         |
|           |                   |         778: 1         |
|           |                   |         779: 1         |
|           |                   |         780: 3         |
|           |                   |         781: 2         |
|           |                   |         782: 1         |
|           |                   |         783: 1         |
|           |                   |         784: 1         |
|           |                   |         785: 1         |
|           |                   |         786: 1         |
|           |                   |         787: 1         |
|           |                   |         788: 1         |
|           |                   |         789: 1         |
|           |                   |         790: 3         |
|           |                   |         791: 1         |
|           |                   |         792: 1         |
|           |                   |         793: 1         |
|           |                   |         794: 2         |
|           |                   |         795: 2         |
|           |                   |         796: 1         |
|           |                   |         797: 1         |
